count,mean,pct100,pct25,pct50,pct75,time,zoneIds
9,4.2,13.08,0.5,3.26,6.24,2019-07-11,[36520]
4,0.15,0.31,0.06,0.14,0.23,2019-07-12,[36520]
0,,,,0.0,,2019-07-13,[36520]
2,1.12,1.84,0.75,1.12,1.48,2019-07-14,[36520]
3,15.33,35.89,5.06,9.43,22.66,2019-07-15,[36520]
5,1.08,1.82,0.53,1.24,1.63,2019-07-16,[36520]
11,3.8,17.53,0.99,1.11,4.53,2019-07-17,[36520]
1,3.15,3.15,3.15,3.15,3.15,2019-07-18,[36520]
2,1.94,3.62,1.11,1.94,2.78,2019-07-19,[36520]
2,0.74,0.96,0.64,0.74,0.85,2019-07-20,[36520]
2,0.18,0.2,0.16,0.18,0.19,2019-07-21,[36520]
15,6.59,33.33,0.5,1.2,12.14,2019-07-22,[36520]
0,,,,0.0,,2019-07-23,[36520]
14,33.18,401.41,1.16,4.82,7.52,2019-07-24,[36520]
5,15.26,55.71,2.19,2.79,15.41,2019-07-25,[36520]
0,,,,0.0,,2019-07-26,[36520]
0,,,,0.0,,2019-07-27,[36520]
0,,,,0.0,,2019-07-28,[36520]
0,,,,0.0,,2019-07-29,[36520]
0,,,,0.0,,2019-07-30,[36520]
0,,,,0.0,,2019-07-31,[36520]
0,,,,0.0,,2019-08-01,[36520]
0,,,,0.0,,2019-08-02,[36520]
0,,,,0.0,,2019-08-03,[36520]
0,,,,0.0,,2019-08-04,[36520]
0,,,,0.0,,2019-08-05,[36520]
1,0.08,0.08,0.08,0.08,0.08,2019-08-06,[36520]
0,,,,0.0,,2019-08-07,[36520]
31,13.84,61.46,2.24,5.21,19.52,2019-08-08,[36520]
4,5.53,18.73,0.76,1.38,6.14,2019-08-09,[36520]
0,,,,0.0,,2019-08-10,[36520]
2,1.34,1.58,1.21,1.34,1.46,2019-08-11,[36520]
9,2.4,18.21,0.16,0.41,0.84,2019-08-12,[36520]
6,0.58,1.1,0.24,0.57,0.93,2019-08-13,[36520]
4,6.18,15.55,0.53,4.52,10.17,2019-08-14,[36520]
4,3.69,14.03,0.26,0.33,3.76,2019-08-15,[36520]
6,7.83,36.47,1.55,1.84,4.03,2019-08-16,[36520]
0,,,,0.0,,2019-08-17,[36520]
2,2.6,5.17,1.32,2.6,3.88,2019-08-18,[36520]
0,,,,0.0,,2019-08-19,[36520]
9,5.3,26.09,0.52,1.15,3.74,2019-08-20,[36520]
1,0.41,0.41,0.41,0.41,0.41,2019-08-21,[36520]
0,,,,0.0,,2019-08-22,[36520]
0,,,,0.0,,2019-08-23,[36520]
0,,,,0.0,,2019-08-24,[36520]
5,2.31,7.76,0.54,0.62,2.14,2019-08-25,[36520]
2,2.0,3.17,1.41,2.0,2.58,2019-08-26,[36520]
0,,,,0.0,,2019-08-27,[36520]
5,7.1,21.52,1.76,5.9,6.3,2019-08-28,[36520]
1,0.8,0.8,0.8,0.8,0.8,2019-08-29,[36520]
0,,,,0.0,,2019-08-30,[36520]
1,1.01,1.01,1.01,1.01,1.01,2019-08-31,[36520]
1,0.5,0.5,0.5,0.5,0.5,2019-09-01,[36520]
2,2.84,4.66,1.94,2.84,3.75,2019-09-02,[36520]
5,2.41,9.55,0.52,0.88,0.93,2019-09-03,[36520]
2,0.9,1.58,0.55,0.9,1.24,2019-09-04,[36520]
0,,,,0.0,,2019-09-05,[36520]
9,14.9,52.1,1.55,8.37,20.3,2019-09-06,[36520]
0,,,,0.0,,2019-09-07,[36520]
7,6.77,25.46,0.63,1.03,9.65,2019-09-08,[36520]
2,0.34,0.51,0.25,0.34,0.42,2019-09-09,[36520]
20,4.52,21.6,0.72,2.38,7.24,2019-09-10,[36520]
2,18.75,33.85,11.2,18.75,26.3,2019-09-11,[36520]
3,0.99,1.54,0.71,1.11,1.33,2019-09-12,[36520]
0,,,,0.0,,2019-09-13,[36520]
0,,,,0.0,,2019-09-14,[36520]
0,,,,0.0,,2019-09-15,[36520]
0,,,,0.0,,2019-09-16,[36520]
1,0.7,0.7,0.7,0.7,0.7,2019-09-17,[36520]
3,3.3,9.41,0.24,0.25,4.83,2019-09-18,[36520]
2,0.94,1.78,0.52,0.94,1.36,2019-09-19,[36520]
1,0.22,0.22,0.22,0.22,0.22,2019-09-20,[36520]
0,,,,0.0,,2019-09-21,[36520]
0,,,,0.0,,2019-09-22,[36520]
1,2.49,2.49,2.49,2.49,2.49,2019-09-23,[36520]
0,,,,0.0,,2019-09-24,[36520]
1,0.65,0.65,0.65,0.65,0.65,2019-09-25,[36520]
3,0.48,0.93,0.25,0.39,0.66,2019-09-26,[36520]
11,18.21,50.34,0.82,10.44,37.42,2019-09-27,[36520]
0,,,,0.0,,2019-09-28,[36520]
3,1.03,2.59,0.24,0.3,1.44,2019-09-29,[36520]
3,0.39,0.6,0.29,0.55,0.57,2019-09-30,[36520]
1,1.4,1.4,1.4,1.4,1.4,2019-10-01,[36520]
1,0.9,0.9,0.9,0.9,0.9,2019-10-02,[36520]
1,0.03,0.03,0.03,0.03,0.03,2019-10-03,[36520]
1,0.21,0.21,0.21,0.21,0.21,2019-10-04,[36520]
