count,mean,pct100,pct25,pct50,pct75,time,zoneIds
5,9.07,30.68,0.44,2.63,11.35,2019-03-20,[36517]
1,0.55,0.55,0.55,0.55,0.55,2019-03-21,[36517]
0,,,,0.0,,2019-03-22,[36517]
0,,,,0.0,,2019-03-23,[36517]
2,1.47,2.11,1.15,1.47,1.79,2019-03-24,[36517]
2,1.07,1.55,0.83,1.07,1.31,2019-03-25,[36517]
10,6.42,49.37,0.36,0.51,1.44,2019-03-26,[36517]
32,3.87,19.37,0.46,2.08,6.28,2019-03-27,[36517]
12,5.72,23.59,1.0,1.8,5.37,2019-03-28,[36517]
0,,,,0.0,,2019-03-29,[36517]
0,,,,0.0,,2019-03-30,[36517]
0,,,,0.0,,2019-03-31,[36517]
0,,,,0.0,,2019-04-01,[36517]
0,,,,0.0,,2019-04-02,[36517]
0,,,,0.0,,2019-04-03,[36517]
0,,,,0.0,,2019-04-04,[36517]
0,,,,0.0,,2019-04-05,[36517]
0,,,,0.0,,2019-04-06,[36517]
0,,,,0.0,,2019-04-07,[36517]
2,13.86,21.19,10.19,13.86,17.52,2019-04-08,[36517]
6,0.98,2.19,0.25,0.58,1.8,2019-04-09,[36517]
5,1.8,2.59,1.53,2.18,2.59,2019-04-10,[36517]
2,12.52,24.5,6.53,12.52,18.51,2019-04-11,[36517]
3,0.31,0.48,0.22,0.39,0.44,2019-04-12,[36517]
9,6.27,17.63,0.46,2.04,14.51,2019-04-13,[36517]
0,,,,0.0,,2019-04-14,[36517]
3,2.04,4.59,0.77,1.05,2.82,2019-04-15,[36517]
1,0.14,0.14,0.14,0.14,0.14,2019-04-16,[36517]
5,3.21,12.54,0.63,0.66,2.0,2019-04-17,[36517]
1,0.06,0.06,0.06,0.06,0.06,2019-04-18,[36517]
2,1.57,2.0,1.36,1.57,1.78,2019-04-19,[36517]
0,,,,0.0,,2019-04-20,[36517]
0,,,,0.0,,2019-04-21,[36517]
1,15.92,15.92,15.92,15.92,15.92,2019-04-22,[36517]
1,0.75,0.75,0.75,0.75,0.75,2019-04-23,[36517]
1,0.23,0.23,0.23,0.23,0.23,2019-04-24,[36517]
0,,,,0.0,,2019-04-25,[36517]
24,2.91,14.41,0.58,1.48,3.43,2019-04-26,[36517]
2,1.66,1.92,1.53,1.66,1.79,2019-04-27,[36517]
6,3.21,9.97,0.78,2.52,3.63,2019-04-28,[36517]
2,0.94,1.44,0.69,0.94,1.19,2019-04-29,[36517]
0,,,,0.0,,2019-04-30,[36517]
4,7.7,17.47,3.86,6.66,10.5,2019-05-01,[36517]
3,2.52,5.11,1.22,2.11,3.61,2019-05-02,[36517]
0,,,,0.0,,2019-05-03,[36517]
12,12.99,52.49,2.31,4.16,22.44,2019-05-04,[36517]
3,3.08,7.13,1.06,1.41,4.27,2019-05-05,[36517]
1,2.79,2.79,2.79,2.79,2.79,2019-05-06,[36517]
8,33.56,260.78,0.56,1.11,1.72,2019-05-07,[36517]
1,0.97,0.97,0.97,0.97,0.97,2019-05-08,[36517]
1,0.3,0.3,0.3,0.3,0.3,2019-05-09,[36517]
15,8.46,54.27,0.5,0.78,6.7,2019-05-10,[36517]
21,6.29,29.23,1.76,3.72,7.77,2019-05-11,[36517]
1,0.35,0.35,0.35,0.35,0.35,2019-05-12,[36517]
1,0.05,0.05,0.05,0.05,0.05,2019-05-13,[36517]
0,,,,0.0,,2019-05-14,[36517]
5,10.3,26.19,1.65,2.04,20.55,2019-05-15,[36517]
1,0.2,0.2,0.2,0.2,0.2,2019-05-16,[36517]
3,2.12,3.09,1.63,2.92,3.0,2019-05-17,[36517]
4,12.13,26.38,2.97,10.17,19.34,2019-05-18,[36517]
0,,,,0.0,,2019-05-19,[36517]
15,22.68,65.55,4.57,8.32,45.33,2019-05-20,[36517]
0,,,,0.0,,2019-05-21,[36517]
5,3.39,12.27,0.51,1.16,2.56,2019-05-22,[36517]
0,,,,0.0,,2019-05-23,[36517]
0,,,,0.0,,2019-05-24,[36517]
0,,,,0.0,,2019-05-25,[36517]
1,7.23,7.23,7.23,7.23,7.23,2019-05-26,[36517]
5,1.35,4.69,0.59,0.6,0.66,2019-05-27,[36517]
8,7.12,17.61,0.68,5.78,13.2,2019-05-28,[36517]
0,,,,0.0,,2019-05-29,[36517]
32,9.79,70.83,0.49,1.66,15.3,2019-05-30,[36517]
9,1.93,5.69,0.36,1.11,3.48,2019-05-31,[36517]
3,2.76,5.99,1.14,1.5,3.74,2019-06-01,[36517]
3,15.51,37.97,4.28,6.78,22.38,2019-06-02,[36517]
0,,,,0.0,,2019-06-03,[36517]
0,,,,0.0,,2019-06-04,[36517]
5,3.05,11.47,0.22,0.85,2.63,2019-06-05,[36517]
0,,,,0.0,,2019-06-06,[36517]
0,,,,0.0,,2019-06-07,[36517]
2,0.3,0.44,0.24,0.3,0.37,2019-06-08,[36517]
0,,,,0.0,,2019-06-09,[36517]
1,0.3,0.3,0.3,0.3,0.3,2019-06-10,[36517]
2,1.03,2.02,0.54,1.03,1.52,2019-06-11,[36517]
4,28.19,95.7,4.02,8.38,32.55,2019-06-12,[36517]
1,2.54,2.54,2.54,2.54,2.54,2019-06-13,[36517]
0,,,,0.0,,2019-06-14,[36517]
0,,,,0.0,,2019-06-15,[36517]
0,,,,0.0,,2019-06-16,[36517]
0,,,,0.0,,2019-06-17,[36517]
2,0.96,1.83,0.52,0.96,1.4,2019-06-18,[36517]
4,328.33,1277.96,0.37,17.6,345.55,2019-06-19,[36517]
20,0.63,1.71,0.21,0.62,0.9,2019-06-20,[36517]
14,1.61,14.61,0.29,0.44,1.02,2019-06-21,[36517]
14,0.82,4.27,0.26,0.4,0.7,2019-06-22,[36517]
11,0.68,2.26,0.29,0.35,0.64,2019-06-23,[36517]
87,4.18,54.99,0.57,1.42,3.86,2019-06-24,[36517]
70,6.22,71.88,0.76,2.06,4.44,2019-06-25,[36517]
19,3.01,15.65,0.9,1.84,2.46,2019-06-26,[36517]
31,4.25,65.08,0.55,1.26,3.54,2019-06-27,[36517]
20,1.68,11.86,0.33,0.66,1.27,2019-06-28,[36517]
174,3.8,63.47,0.64,1.52,3.66,2019-06-29,[36517]
56,3.63,40.52,0.82,1.38,2.41,2019-06-30,[36517]
13,1.39,4.07,0.4,1.17,1.54,2019-07-01,[36517]
21,0.81,1.57,0.55,0.86,1.01,2019-07-02,[36517]
6,1.18,2.79,0.35,0.92,1.82,2019-07-03,[36517]
9,5.01,32.47,0.26,1.65,2.08,2019-07-04,[36517]
