count,mean,pct100,pct25,pct50,pct75,time,zoneIds
32,17.59,117.2,1.97,3.5,14.58,2019-03-20,[36513]
37,9.96,45.38,3.16,5.47,9.33,2019-03-21,[36513]
3,1.27,2.38,0.71,1.12,1.75,2019-03-22,[36513]
0,,,,0.0,,2019-03-23,[36513]
14,6.46,29.9,1.22,2.12,7.91,2019-03-24,[36513]
14,3.45,25.13,0.65,1.78,2.57,2019-03-25,[36513]
25,3.57,13.54,1.03,1.58,3.78,2019-03-26,[36513]
57,4.63,28.45,1.09,2.59,4.63,2019-03-27,[36513]
73,4.88,74.63,0.86,1.58,3.58,2019-03-28,[36513]
0,,,,0.0,,2019-03-29,[36513]
0,,,,0.0,,2019-03-30,[36513]
0,,,,0.0,,2019-03-31,[36513]
0,,,,0.0,,2019-04-01,[36513]
0,,,,0.0,,2019-04-02,[36513]
0,,,,0.0,,2019-04-03,[36513]
0,,,,0.0,,2019-04-04,[36513]
0,,,,0.0,,2019-04-05,[36513]
0,,,,0.0,,2019-04-06,[36513]
0,,,,0.0,,2019-04-07,[36513]
15,5.9,39.39,1.44,2.35,4.04,2019-04-08,[36513]
35,1.8,7.18,0.94,1.51,1.91,2019-04-09,[36513]
15,2.46,16.1,0.33,1.22,2.11,2019-04-10,[36513]
20,1.26,3.46,0.94,1.08,1.45,2019-04-11,[36513]
19,9.89,55.43,1.06,2.02,10.68,2019-04-12,[36513]
5,2.15,3.44,2.08,2.1,3.03,2019-04-13,[36513]
8,2.34,8.85,1.31,1.46,1.82,2019-04-14,[36513]
7,8.71,35.48,0.63,1.51,11.31,2019-04-15,[36513]
22,1.75,8.49,0.68,1.03,1.9,2019-04-16,[36513]
27,1.92,7.76,0.99,1.39,2.24,2019-04-17,[36513]
21,6.09,58.99,1.43,2.27,3.65,2019-04-18,[36513]
4,10.13,26.45,3.62,5.96,12.47,2019-04-19,[36513]
1,1.58,1.58,1.58,1.58,1.58,2019-04-20,[36513]
2,2.38,4.05,1.54,2.38,3.21,2019-04-21,[36513]
2,2.13,4.21,1.1,2.13,3.17,2019-04-22,[36513]
6,2.65,6.71,1.13,1.9,3.32,2019-04-23,[36513]
23,1.91,5.52,1.04,1.57,2.74,2019-04-24,[36513]
10,1.47,3.09,0.88,1.25,1.78,2019-04-25,[36513]
71,8.13,85.25,1.15,2.22,5.58,2019-04-26,[36513]
10,6.6,25.59,0.88,2.2,10.59,2019-04-27,[36513]
12,1.64,3.98,1.02,1.68,2.08,2019-04-28,[36513]
17,16.57,71.51,1.53,6.1,23.84,2019-04-29,[36513]
