count,mean,pct100,pct25,pct50,pct75,time,zoneIds
66,61.91,1827.65,1.36,5.48,28.55,2019-06-30,[36515]
12,28.01,233.26,0.73,1.22,12.01,2019-07-01,[36515]
35,84.12,900.76,2.09,8.36,37.76,2019-07-02,[36515]
8,0.52,1.26,0.19,0.42,0.8,2019-07-03,[36515]
18,72.99,361.9,6.88,31.01,97.02,2019-07-04,[36515]
2,0.87,1.18,0.72,0.87,1.02,2019-07-05,[36515]
3,2.1,4.31,0.99,1.25,2.78,2019-07-06,[36515]
2,0.66,1.01,0.48,0.66,0.83,2019-07-07,[36515]
71,41.85,1010.01,2.6,6.55,22.58,2019-07-08,[36515]
4,0.54,0.87,0.41,0.53,0.67,2019-07-09,[36515]
32,14.58,138.71,0.41,1.6,11.32,2019-07-10,[36515]
4,1.0,2.53,0.26,0.67,1.41,2019-07-11,[36515]
44,34.66,387.63,1.06,3.42,32.29,2019-07-12,[36515]
19,13.53,128.38,1.43,3.65,7.66,2019-07-13,[36515]
3,0.28,0.48,0.18,0.22,0.35,2019-07-14,[36515]
48,31.74,191.19,3.49,7.72,36.25,2019-07-15,[36515]
4,138.77,532.74,7.29,10.48,141.97,2019-07-16,[36515]
10,17.51,97.38,0.94,2.72,17.14,2019-07-17,[36515]
27,19.1,121.22,2.46,7.29,19.55,2019-07-18,[36515]
4,5.86,16.75,1.22,3.14,7.79,2019-07-19,[36515]
16,22.96,90.95,3.39,14.71,35.03,2019-07-20,[36515]
10,5.81,26.09,0.75,1.2,2.17,2019-07-21,[36515]
196,30.34,695.91,1.5,5.92,22.83,2019-07-22,[36515]
41,62.12,1498.81,3.59,10.46,33.34,2019-07-23,[36515]
48,24.05,176.23,1.84,5.98,28.74,2019-07-24,[36515]
13,15.39,34.81,5.21,10.88,25.98,2019-07-25,[36515]
7,16.43,61.74,2.84,5.62,20.22,2019-07-26,[36515]
7,12.2,69.05,1.7,2.42,4.8,2019-07-27,[36515]
10,4.32,19.5,1.22,2.04,4.68,2019-07-28,[36515]
0,,,,0.0,,2019-07-29,[36515]
0,,,,0.0,,2019-07-30,[36515]
0,,,,0.0,,2019-07-31,[36515]
0,,,,0.0,,2019-08-01,[36515]
0,,,,0.0,,2019-08-02,[36515]
0,,,,0.0,,2019-08-03,[36515]
